fdcId,database,subCategory
2705604,survey_fndds,Cream and cream substitutes
2705605,survey_fndds,Cream and cream substitutes
2705606,survey_fndds,Cream and cream substitutes
2705607,survey_fndds,Cream and cream substitutes
2705608,survey_fndds,Cream and cream substitutes
2705609,survey_fndds,Cream and cream substitutes
2705610,survey_fndds,Cream and cream substitutes
2705611,survey_fndds,"Cream cheese, sour cream, whipped cream"
2705612,survey_fndds,"Cream cheese, sour cream, whipped cream"
2705613,survey_fndds,"Cream cheese, sour cream, whipped cream"
2705614,survey_fndds,"Cream cheese, sour cream, whipped cream"
2705615,survey_fndds,"Cream cheese, sour cream, whipped cream"
2705616,survey_fndds,"Cream cheese, sour cream, whipped cream"
2705617,survey_fndds,"Cream cheese, sour cream, whipped cream"
2705618,survey_fndds,"Dips, gravies, other sauces"
2705619,survey_fndds,"Dips, gravies, other sauces"
2705620,survey_fndds,"Dips, gravies, other sauces"
2705621,survey_fndds,"Dips, gravies, other sauces"
2705622,survey_fndds,"Dips, gravies, other sauces"
2705623,survey_fndds,"Dips, gravies, other sauces"
2705624,survey_fndds,"Dips, gravies, other sauces"
2705625,survey_fndds,"Dips, gravies, other sauces"
2705626,survey_fndds,"Dips, gravies, other sauces"
2705627,survey_fndds,"Dips, gravies, other sauces"
2705628,survey_fndds,"Dips, gravies, other sauces"
2705629,survey_fndds,Ice cream and frozen dairy desserts
2705630,survey_fndds,Ice cream and frozen dairy desserts
2705631,survey_fndds,Ice cream and frozen dairy desserts
2705632,survey_fndds,Ice cream and frozen dairy desserts
2705633,survey_fndds,Ice cream and frozen dairy desserts
2705634,survey_fndds,Ice cream and frozen dairy desserts
2705635,survey_fndds,Ice cream and frozen dairy desserts
2705636,survey_fndds,Ice cream and frozen dairy desserts
2705637,survey_fndds,Ice cream and frozen dairy desserts
2705638,survey_fndds,Ice cream and frozen dairy desserts
2705639,survey_fndds,Ice cream and frozen dairy desserts
2705640,survey_fndds,Ice cream and frozen dairy desserts
2705641,survey_fndds,Ice cream and frozen dairy desserts
2705642,survey_fndds,Ice cream and frozen dairy desserts
2705643,survey_fndds,Ice cream and frozen dairy desserts
2705644,survey_fndds,Ice cream and frozen dairy desserts
2705645,survey_fndds,Ice cream and frozen dairy desserts
2705646,survey_fndds,Ice cream and frozen dairy desserts
2705647,survey_fndds,Ice cream and frozen dairy desserts
2705648,survey_fndds,Ice cream and frozen dairy desserts
2705649,survey_fndds,Ice cream and frozen dairy desserts
2705650,survey_fndds,Ice cream and frozen dairy desserts
2705651,survey_fndds,Ice cream and frozen dairy desserts
2705652,survey_fndds,Ice cream and frozen dairy desserts
2705653,survey_fndds,Ice cream and frozen dairy desserts
2705654,survey_fndds,Ice cream and frozen dairy desserts
2705655,survey_fndds,Ice cream and frozen dairy desserts
2705656,survey_fndds,Milk shakes and other dairy drinks
2705657,survey_fndds,Milk shakes and other dairy drinks
2705658,survey_fndds,Ice cream and frozen dairy desserts
2705659,survey_fndds,Ice cream and frozen dairy desserts
2705660,survey_fndds,Ice cream and frozen dairy desserts
2705661,survey_fndds,Ice cream and frozen dairy desserts
2705662,survey_fndds,Ice cream and frozen dairy desserts
2705663,survey_fndds,Ice cream and frozen dairy desserts
2705664,survey_fndds,Ice cream and frozen dairy desserts
2705665,survey_fndds,Ice cream and frozen dairy desserts
2705666,survey_fndds,Ice cream and frozen dairy desserts
2705667,survey_fndds,Ice cream and frozen dairy desserts
2705668,survey_fndds,Ice cream and frozen dairy desserts
2705669,survey_fndds,Ice cream and frozen dairy desserts
2705670,survey_fndds,Ice cream and frozen dairy desserts
2705671,survey_fndds,Ice cream and frozen dairy desserts
2705672,survey_fndds,Ice cream and frozen dairy desserts
2705673,survey_fndds,Ice cream and frozen dairy desserts
2705674,survey_fndds,Ice cream and frozen dairy desserts
2705675,survey_fndds,Ice cream and frozen dairy desserts
2705676,survey_fndds,Ice cream and frozen dairy desserts
2705677,survey_fndds,Ice cream and frozen dairy desserts
2705678,survey_fndds,Ice cream and frozen dairy desserts
2705679,survey_fndds,Pudding
2705680,survey_fndds,Pudding
2705681,survey_fndds,Pudding
2705682,survey_fndds,Pudding
2705683,survey_fndds,Pudding
2705684,survey_fndds,Pudding
2705685,survey_fndds,Pudding
2705686,survey_fndds,Pudding
2705687,survey_fndds,Pudding
2705688,survey_fndds,Pudding
2705689,survey_fndds,Pudding
2705690,survey_fndds,Pudding
2705691,survey_fndds,Pudding
2705692,survey_fndds,Pudding
2705693,survey_fndds,Pudding
2705694,survey_fndds,Pudding
2705695,survey_fndds,Pudding
2705696,survey_fndds,Pudding
2705697,survey_fndds,Pudding
2705698,survey_fndds,Pudding
2705699,survey_fndds,Pudding
2705700,survey_fndds,Pudding
2705701,survey_fndds,Pudding
2705702,survey_fndds,Cakes and pies
2705703,survey_fndds,"Dips, gravies, other sauces"
2705704,survey_fndds,Cheese
2705705,survey_fndds,Cheese
2705706,survey_fndds,Cheese
2705707,survey_fndds,Cheese
2705708,survey_fndds,Cheese
2705709,survey_fndds,Cheese
2705710,survey_fndds,Cheese
2705711,survey_fndds,Cheese
2705712,survey_fndds,Cheese
2705713,survey_fndds,Cheese
2705714,survey_fndds,Cheese
2705715,survey_fndds,Cheese
2705716,survey_fndds,Cheese
2705717,survey_fndds,Cheese
2705718,survey_fndds,Cheese
2705719,survey_fndds,Cheese
2705720,survey_fndds,Cheese
2705721,survey_fndds,Cheese
2705722,survey_fndds,Cheese
2705723,survey_fndds,Cheese
2705724,survey_fndds,Cheese
2705725,survey_fndds,Cheese
2705726,survey_fndds,Cheese
2705727,survey_fndds,Cheese
2705728,survey_fndds,Cheese
2705729,survey_fndds,Cheese
2705730,survey_fndds,Cheese
2705731,survey_fndds,Cheese
2705732,survey_fndds,Cheese
2705733,survey_fndds,Cheese
2705734,survey_fndds,Cheese
2705735,survey_fndds,Cheese
2705736,survey_fndds,Cheese
2705737,survey_fndds,Cheese
2705738,survey_fndds,Cheese
2705739,survey_fndds,Cheese
2705740,survey_fndds,Cheese
2705741,survey_fndds,Cheese
2705742,survey_fndds,Cheese
2705743,survey_fndds,Cheese
2705744,survey_fndds,Cheese
2705745,survey_fndds,Cheese
2705746,survey_fndds,Cheese
2705747,survey_fndds,Cottage/ricotta cheese
2705748,survey_fndds,Cottage/ricotta cheese
2705749,survey_fndds,Cottage/ricotta cheese
2705750,survey_fndds,Cottage/ricotta cheese
2705751,survey_fndds,Cottage/ricotta cheese
2705752,survey_fndds,Cottage/ricotta cheese
2705753,survey_fndds,Cottage/ricotta cheese
2705754,survey_fndds,Cottage/ricotta cheese
2705755,survey_fndds,Cottage/ricotta cheese
2705756,survey_fndds,Cottage/ricotta cheese
2705757,survey_fndds,Cottage/ricotta cheese
2705758,survey_fndds,Cottage/ricotta cheese
2705759,survey_fndds,Cottage/ricotta cheese
2705760,survey_fndds,"Cream cheese, sour cream, whipped cream"
2705761,survey_fndds,"Cream cheese, sour cream, whipped cream"
2705762,survey_fndds,"Cream cheese, sour cream, whipped cream"
2705763,survey_fndds,Cheese
2705764,survey_fndds,Cheese
2705765,survey_fndds,Cheese
2705766,survey_fndds,Cheese
2705767,survey_fndds,Cheese
2705768,survey_fndds,Cheese
2705769,survey_fndds,"Cream cheese, sour cream, whipped cream"
2705770,survey_fndds,Cheese
2705771,survey_fndds,Cheese
2705772,survey_fndds,Cheese
2705773,survey_fndds,Cheese
2705774,survey_fndds,Cheese
2705775,survey_fndds,"Cream cheese, sour cream, whipped cream"
2705776,survey_fndds,Cheese
2705777,survey_fndds,Cheese
2705778,survey_fndds,Cottage/ricotta cheese
2705779,survey_fndds,Cottage/ricotta cheese
2705780,survey_fndds,Cottage/ricotta cheese
2705781,survey_fndds,Cheese
2705782,survey_fndds,"Dips, gravies, other sauces"
2705783,survey_fndds,"Dips, gravies, other sauces"
2705784,survey_fndds,"Dips, gravies, other sauces"
2705785,survey_fndds,"Dips, gravies, other sauces"
2705786,survey_fndds,"Dips, gravies, other sauces"
2705787,survey_fndds,Pizza
2705788,survey_fndds,Pizza
2705789,survey_fndds,Pizza
2705790,survey_fndds,Pizza
2705791,survey_fndds,"Dips, gravies, other sauces"
2705792,survey_fndds,Eggs and omelets
2705793,survey_fndds,"Dips, gravies, other sauces"
2705794,survey_fndds,Cheese sandwiches
2705795,survey_fndds,Cheese sandwiches
2705796,survey_fndds,Cheese sandwiches
2705797,survey_fndds,Cheese sandwiches
2705798,survey_fndds,Cheese sandwiches
2705799,survey_fndds,Cheese sandwiches
2705800,survey_fndds,Cheese sandwiches
2705801,survey_fndds,Cheese sandwiches
2705802,survey_fndds,Cheese sandwiches
2705803,survey_fndds,Cheese sandwiches
2705804,survey_fndds,Cheese sandwiches
2705805,survey_fndds,Cheese sandwiches
2705806,survey_fndds,Cheese sandwiches
2705807,survey_fndds,Cheese sandwiches
2705808,survey_fndds,"Dips, gravies, other sauces"
2705809,survey_fndds,"Dips, gravies, other sauces"
2705810,survey_fndds,"Dips, gravies, other sauces"
2705811,survey_fndds,"Dips, gravies, other sauces"
2705812,survey_fndds,"Dips, gravies, other sauces"
2705813,survey_fndds,"Dips, gravies, other sauces"
2705814,survey_fndds,"Dips, gravies, other sauces"
2705815,survey_fndds,"Dips, gravies, other sauces"
2705816,survey_fndds,"Dips, gravies, other sauces"
2705817,survey_fndds,Cheese
2705818,survey_fndds,"Coleslaw, non-lettuce salads"
2705819,survey_fndds,"Beef, excludes ground"
2705820,survey_fndds,Ground beef
2705821,survey_fndds,Baby food: meat and dinners
2705822,survey_fndds,"Beef, excludes ground"
2705823,survey_fndds,"Beef, excludes ground"
2705824,survey_fndds,"Beef, excludes ground"
2705825,survey_fndds,"Beef, excludes ground"
2705826,survey_fndds,"Beef, excludes ground"
2705827,survey_fndds,"Beef, excludes ground"
2705828,survey_fndds,"Beef, excludes ground"
2705829,survey_fndds,"Beef, excludes ground"
2705830,survey_fndds,"Beef, excludes ground"
2705831,survey_fndds,"Beef, excludes ground"
2705832,survey_fndds,"Beef, excludes ground"
2705833,survey_fndds,"Beef, excludes ground"
2705834,survey_fndds,"Beef, excludes ground"
2705835,survey_fndds,"Beef, excludes ground"
2705836,survey_fndds,"Beef, excludes ground"
2705837,survey_fndds,"Beef, excludes ground"
2705838,survey_fndds,"Beef, excludes ground"
2705839,survey_fndds,"Beef, excludes ground"
2705840,survey_fndds,"Beef, excludes ground"
2705841,survey_fndds,"Beef, excludes ground"
2705842,survey_fndds,"Beef, excludes ground"
2705843,survey_fndds,"Beef, excludes ground"
2705844,survey_fndds,"Beef, excludes ground"
2705845,survey_fndds,"Beef, excludes ground"
2705846,survey_fndds,"Beef, excludes ground"
2705847,survey_fndds,"Beef, excludes ground"
2705848,survey_fndds,"Beef, excludes ground"
2705849,survey_fndds,"Beef, excludes ground"
2705850,survey_fndds,Cold cuts and cured meats
2705851,survey_fndds,"Beef, excludes ground"
2705852,survey_fndds,"Beef, excludes ground"
2705853,survey_fndds,Ground beef
2705854,survey_fndds,Ground beef
2705855,survey_fndds,Ground beef
2705856,survey_fndds,Bacon
2705857,survey_fndds,Bacon
2705858,survey_fndds,Cold cuts and cured meats
2705859,survey_fndds,Cold cuts and cured meats
2705860,survey_fndds,Cold cuts and cured meats
2705861,survey_fndds,Baby food: meat and dinners
2705862,survey_fndds,Pork
2705863,survey_fndds,Pork
2705864,survey_fndds,Pork
2705865,survey_fndds,Cold cuts and cured meats
2705866,survey_fndds,Pork
2705867,survey_fndds,Pork
2705868,survey_fndds,Pork
2705869,survey_fndds,Pork
2705870,survey_fndds,Pork
2705871,survey_fndds,Pork
2705872,survey_fndds,Meat mixed dishes
2705873,survey_fndds,Pork
2705874,survey_fndds,Pork
2705875,survey_fndds,Pork
2705876,survey_fndds,Pork
2705877,survey_fndds,Pork
2705878,survey_fndds,Cold cuts and cured meats
2705879,survey_fndds,Cold cuts and cured meats
2705880,survey_fndds,Cold cuts and cured meats
2705881,survey_fndds,Cold cuts and cured meats
2705882,survey_fndds,Pork
2705883,survey_fndds,Cold cuts and cured meats
2705884,survey_fndds,Cold cuts and cured meats
2705885,survey_fndds,Bacon
2705886,survey_fndds,Bacon
2705887,survey_fndds,Bacon
2705888,survey_fndds,Bacon
2705889,survey_fndds,Bacon
2705890,survey_fndds,Bacon
2705891,survey_fndds,Bacon
2705892,survey_fndds,Butter and animal fats
2705893,survey_fndds,Pork
2705894,survey_fndds,Pork
2705895,survey_fndds,Pork
2705896,survey_fndds,Pork
2705897,survey_fndds,Pork
2705898,survey_fndds,Pork
2705899,survey_fndds,Pork
2705900,survey_fndds,Pork
2705901,survey_fndds,Pork
2705902,survey_fndds,Pork
2705903,survey_fndds,Baby food: meat and dinners
2705904,survey_fndds,Baby food: meat and dinners
2705905,survey_fndds,"Lamb, goat, game"
2705906,survey_fndds,"Lamb, goat, game"
2705907,survey_fndds,"Lamb, goat, game"
2705908,survey_fndds,"Lamb, goat, game"
2705909,survey_fndds,"Beef, excludes ground"
2705910,survey_fndds,Ground beef
2705911,survey_fndds,"Beef, excludes ground"
2705912,survey_fndds,"Lamb, goat, game"
2705913,survey_fndds,"Lamb, goat, game"
2705914,survey_fndds,"Lamb, goat, game"
2705915,survey_fndds,Cold cuts and cured meats
2705916,survey_fndds,Cold cuts and cured meats
2705917,survey_fndds,"Lamb, goat, game"
2705918,survey_fndds,"Lamb, goat, game"
2705919,survey_fndds,"Lamb, goat, game"
2705920,survey_fndds,"Lamb, goat, game"
2705921,survey_fndds,"Lamb, goat, game"
2705922,survey_fndds,"Lamb, goat, game"
2705923,survey_fndds,"Lamb, goat, game"
2705924,survey_fndds,"Lamb, goat, game"
2705925,survey_fndds,"Lamb, goat, game"
2705926,survey_fndds,"Lamb, goat, game"
2705927,survey_fndds,"Lamb, goat, game"
2705928,survey_fndds,"Turkey, duck, other poultry"
2705929,survey_fndds,"Chicken, whole pieces"
2705930,survey_fndds,"Chicken, whole pieces"
2705931,survey_fndds,"Chicken, whole pieces"
2705932,survey_fndds,"Chicken, whole pieces"
2705933,survey_fndds,"Chicken, whole pieces"
2705934,survey_fndds,"Chicken, whole pieces"
2705935,survey_fndds,"Chicken, whole pieces"
2705936,survey_fndds,"Chicken, whole pieces"
2705937,survey_fndds,"Chicken, whole pieces"
2705938,survey_fndds,"Chicken, whole pieces"
2705939,survey_fndds,"Chicken, whole pieces"
2705940,survey_fndds,"Chicken, whole pieces"
2705941,survey_fndds,"Chicken, whole pieces"
2705942,survey_fndds,"Chicken, whole pieces"
2705943,survey_fndds,"Chicken, whole pieces"
2705944,survey_fndds,"Chicken, whole pieces"
2705945,survey_fndds,"Chicken, whole pieces"
2705946,survey_fndds,"Chicken, whole pieces"
2705947,survey_fndds,"Chicken, whole pieces"
2705948,survey_fndds,"Chicken, whole pieces"
2705949,survey_fndds,"Chicken, whole pieces"
2705950,survey_fndds,"Chicken, whole pieces"
2705951,survey_fndds,"Chicken, whole pieces"
2705952,survey_fndds,"Chicken, whole pieces"
2705953,survey_fndds,"Chicken, whole pieces"
2705954,survey_fndds,"Chicken, whole pieces"
2705955,survey_fndds,"Chicken, whole pieces"
2705956,survey_fndds,"Chicken, whole pieces"
2705957,survey_fndds,"Chicken, whole pieces"
2705958,survey_fndds,"Chicken, whole pieces"
2705959,survey_fndds,"Chicken, whole pieces"
2705960,survey_fndds,"Chicken, whole pieces"
2705961,survey_fndds,"Chicken, whole pieces"
2705962,survey_fndds,"Chicken, whole pieces"
2705963,survey_fndds,"Chicken, whole pieces"
2705964,survey_fndds,"Chicken, whole pieces"
2705965,survey_fndds,"Chicken, whole pieces"
2705966,survey_fndds,"Chicken, whole pieces"
2705967,survey_fndds,"Chicken, whole pieces"
2705968,survey_fndds,"Chicken, whole pieces"
2705969,survey_fndds,"Chicken, whole pieces"
2705970,survey_fndds,"Chicken, whole pieces"
2705971,survey_fndds,"Chicken, whole pieces"
2705972,survey_fndds,"Chicken, whole pieces"
2705973,survey_fndds,"Chicken, whole pieces"
2705974,survey_fndds,"Chicken, whole pieces"
2705975,survey_fndds,"Chicken, whole pieces"
2705976,survey_fndds,"Chicken, whole pieces"
2705977,survey_fndds,"Chicken, whole pieces"
2705978,survey_fndds,"Chicken, whole pieces"
