fdcId,database,subCategory
2727579,foundation,Vegetables and Vegetable Products
2727580,foundation,Vegetables and Vegetable Products
2727581,foundation,Fruits and Fruit Juices
2727582,foundation,Vegetables and Vegetable Products
2727583,foundation,Vegetables and Vegetable Products
2727584,foundation,Vegetables and Vegetable Products
2727585,foundation,Vegetables and Vegetable Products
2727586,foundation,Vegetables and Vegetable Products
2727587,foundation,Fruits and Fruit Juices
2727588,foundation,Fruits and Fruit Juices
2727589,foundation,Fruits and Fruit Juices
2747652,foundation,Finfish and Shellfish Products
2747653,foundation,Vegetables and Vegetable Products
2747654,foundation,Finfish and Shellfish Products
2747655,foundation,Vegetables and Vegetable Products
2747656,foundation,Finfish and Shellfish Products
2747657,foundation,Finfish and Shellfish Products
2747658,foundation,Finfish and Shellfish Products
2747659,foundation,Vegetables and Vegetable Products
2747660,foundation,Vegetables and Vegetable Products
2747661,foundation,Vegetables and Vegetable Products
2747662,foundation,Vegetables and Vegetable Products
2747663,foundation,Vegetables and Vegetable Products
2747664,foundation,Vegetables and Vegetable Products
2747665,foundation,Vegetables and Vegetable Products
2747666,foundation,Finfish and Shellfish Products
2747667,foundation,Finfish and Shellfish Products
2747668,foundation,Finfish and Shellfish Products
2747669,foundation,Finfish and Shellfish Products
2747670,foundation,Finfish and Shellfish Products
2747671,foundation,Finfish and Shellfish Products
2747672,foundation,Finfish and Shellfish Products
2747673,foundation,Finfish and Shellfish Products
2747674,foundation,Vegetables and Vegetable Products
2747675,foundation,Fruits and Fruit Juices
2747676,foundation,Fruits and Fruit Juices
